date,interviewer,task,bundle_id,list_code,sfh_bundle_total
2025-12-27,A,DH,2192,30,74
2025-12-27,A,DH,813,30,80
2025-12-27,A,DH,900,30,74
2025-12-27,A,DH,5558,30,88
2025-12-27,B,DH,1736,30,74
2025-12-27,B,DH,1713,30,79
2025-12-27,B,DH,1604,30,88
2025-12-27,B,DH,1014,30,86
2025-12-27,C,DH,6006,30,81
2025-12-27,C,DH,2204,30,79
2025-12-27,C,DH,5687,30,81
2025-12-27,C,DH,5671,30,83
2025-12-27,D,DH,458,30,75
2025-12-27,D,DH,3112,30,84
2025-12-27,D,DH,1324,30,80
2025-12-27,D,DH,1923,30,86
2025-12-27,E,DH,2968,30,88
2025-12-27,E,DH,3026,30,86
2025-12-27,E,DH,2665,30,78
2025-12-27,E,DH,1935,30,79
2025-12-27,F,DH,2356,30,79
2025-12-27,F,DH,3403,30,72
2025-12-27,F,DH,1412,30,80
2025-12-27,F,DH,3630,30,80
